A1BG	2	942	3.842080459	10	0.318428463
A2M	3	946	4.150210778	91	0.309364835
NAT1	6	94	0.369912364	3	0.3356065
NAT2	7	4	0.022478302	2	0.348484848
SERPINA3	9	431	1.499669795	28	0.31971972
AADAC	10	7	0.041151884	0	0.186241611
AAMP	11	882	3.139467461	15	0.012868005
AANAT	12	784	2.377232735	0	0.084546299
AARS	13	942	3.737071402	53	0.037538045
ABAT	15	946	4.78272019	4	0.074516869
ABCA1	16	839	2.519051517	48	0.047901821
ABCA2	17	940	3.171353909	2	0.029371522
ABCA3	18	945	4.02893206	3	0.067292138
ABCB7	19	945	3.777970119	7	0.174237288
ABCF1	20	874	3.44866304	69	0.075063106
ABCA4	21	63	0.228733938	1	0.128194726
ABL1	22	945	3.149176376	284	0.087579138
ABP1	23	59	0.219635376	0	-
ABL2	24	927	3.117603776	33	0.082574378
ABO	25	8	0.036317491	1	0.086580517
ABR	26	946	5.065776258	8	0.028118359
ACAA1	27	946	4.015607287	20	0.1578
ACACA	28	879	2.851902133	77	0.03033557
ACACB	29	898	2.503708762	11	0.067150211
ACADL	30	441	1.270143812	5	0.110326169
ACADM	31	946	4.144990177	7	0.068931722
ACADS	32	185	0.521162689	1	0.072580645
ACADSB	33	941	3.341831462	3	0.142059287
ACADVL	34	946	5.162126257	8	0.18325548
ACAT1	35	944	4.165047414	39	0.195657305
ACAT2	36	946	4.421657645	30	0.145753308
ACCN1	37	941	3.863246693	0	-
ACCN2	38	946	3.909291936	0	-
ACHE	40	939	3.37740592	12	0.091342438
ACLY	44	946	3.850435259	27	0.016301293
ACO1	45	934	3.497725298	16	0.061649885
ACR	46	743	1.994749211	4	0.299772697
ACO2	47	946	5.553720482	24	0.02954928
ACOX1	48	946	3.780857738	13	0.091802358
ACP1	49	946	4.204522968	30	0.150856468
ACP2	50	791	2.170166794	5	0.165781084
ACP5	51	646	1.737294144	13	0.091845226
ACPP	52	934	3.079946365	8	0.236717828
ACRV1	53	123	0.456764396	0	0.436814002
ACTA1	55	849	2.866388768	170	0.001036717
ACTA2	56	819	2.681854683	156	0
ACTB	57	946	5.919753428	255	0.003286525
ACTC1	67	943	3.758761945	61	0.000899685
ACTG1	68	946	6.058278792	173	-
ACTG2	69	664	2.198000815	110	0.000974184
ACTN4	78	913	3.206811479	80	0.006863493
ACTL6A	83	927	3.246969305	94	0.008642363
ACTN1	84	930	4.151845366	98	0.006582278
ACTN2	85	945	4.234963604	71	0.009886159
ACTN3	86	276	0.824152153	5	0.041489484
ACVR1	87	946	3.616952728	81	0.015869565
ACVR1B	88	919	2.775420439	28	0.019132653
ACVR2A	89	931	3.310064284	19	0.007550336
ACVR2B	90	946	3.751855496	0	0.005114566
ACVRL1	91	939	3.7438558	19	0.072532244
ACY1	92	943	3.630340044	9	0.169795222
ACYP1	94	945	4.087740895	0	0.094678529
ACYP2	95	946	4.487970014	0	0.112991538
ADA	97	925	3.288561384	9	0.075955863
ADAM8	98	946	3.844499249	2	0.223033025
ADAM10	99	938	3.152962172	13	0.051221247
ADAR	100	946	4.245483943	18	0.223019003
ADARB1	101	939	3.50037088	3	0.051894301
ADARB2	102	945	3.658978459	1	0.069883114
ADCY1	104	924	3.4691834	3	0.064882263
ADCY2	105	907	3.448897809	5	0.036174845
ADCY3	106	628	1.714522034	6	0.041331618
ADCY5	108	585	1.624480111	17	0.028600465
ADCY6	109	660	1.861135881	6	0.046156373
ADCY7	110	636	1.808316289	6	0.089124021
ADCY8	111	788	2.205918259	4	0.030165913
ADCY9	112	941	3.541520782	2	0.050977836
ADCYAP1	113	863	3.478875491	0	0.154445048
ADCYAP1R1	114	945	3.511557134	1	0.066217733
ADD1	115	946	4.699204506	27	0.094397363
ADD2	116	946	3.652146554	8	0.048387097
ADD3	117	939	4.236500947	3	0.069020021
ADFP	120	330	0.836018034	0	-
ADH1C	121	5	0.026986577	0	0.127308895
ADH1B	122	1	0.002076985	12	0.150504152
ADH1C	123	380	1.27010643	0	0.127308895
ADH4	124	33	0.137145976	2	0.33061073
ADH5	125	946	3.907616284	14	0.091779542
ADH6	127	5	0.026751919	8	0.303742654
ADH7	128	9	0.045375459	1	0.127105123
ADK	129	945	4.044948105	7	0.125609096
ADM	130	938	3.295885255	4	0.294845609
ADORA1	131	651	1.933600669	10	0.026957912
ADORA2A	132	784	2.41202458	0	0.097916144
ADORA2B	133	858	3.424691001	0	0.128419294
ADORA3	137	610	1.618618078	2	0.272055427
ADPRH	138	113	0.399022702	4	0.157433962
PARP1	139	946	4.560210012	215	0.049036545
PARP4	140	720	2.084186361	8	0.353956835
ADRA1D	143	944	3.657621853	0	0.055430128
ADRA1B	144	932	4.0027709	13	0.025530694
ADRA1A	145	946	3.371213412	9	0.082360433
ADRA2A	147	927	3.12882055	13	0.03013834
ADRA2B	148	152	0.536652195	4	0.118436073
ADRA2C	149	946	3.764502111	0	0.023569283
ADRB1	150	757	2.256522485	0	0.025333216
ADRB2	151	862	2.655531609	160	0.104475235
